Company Name,Industry,Symbol,Series,ISIN Code,description
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,"ACC Limited manufactures and sells cement and ready-mix concrete in India. It operates in Cement and Ready Mix Concrete segments. The company provides ordinary Portland cement; blended cement, including Portland Pozzolana cement, Portland slag cement, and composite cement; gold and silver range of cement; ready mixed concrete value-added products; and bulk cement. It also offers construction chemicals, such as ACC LeakBlock, a polymer-based integral waterproofing compound used in various types of cement mortar, plasters, and concrete; ACC LeakBlock WaterProof Plaster - LB 101, a ready-to-use cementitious waterproof mortar for internal and external plaster applications; and tile adhesives. In addition, the company provides EcoMaxx, a concrete with lower embodied carbon content for various structural components applications comprising foundations, columns, beams, external or internal walls, driveways, walkways, etc. The company distributes its products through a network of dealers, retailers, engineers, and architects. The company was formerly known as The Associated Cement Companies Limited and changed its name to ACC Limited in September 2006. ACC Limited was incorporated in 1936 and is headquartered in Mumbai, India. ACC Limited is a subsidiary of Ambuja Cements Limited."
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,"APL Apollo Tubes Limited manufactures and sells structural steel tubes and pipes in India. The company offers structural tubes for construction, automotive, machinery, furniture, etc. applications; pre galvanized sections of square, rectangular, and circular tubes used for roofing structure; galvanized iron products for industrial and agricultural applications; ready-made chaukhat, and door and fencing solutions; and triple coated in-line galvanizing tubes. It also exports its products to approximately 30 countries worldwide. The company was formerly known as Bihar Tubes Limited and changed its name to APL Apollo Tubes Limited in 2010. APL Apollo Tubes Limited was incorporated in 1986 and is headquartered in Ghaziabad, India."
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,"AU Small Finance Bank Limited provides various banking and financial services in India. The company operates through Treasury, Retail Banking, Wholesale Banking, and Other Banking Operations segments. It provides saving, current, salary, fixed, recurring, and COVID shield deposit accounts, as well as debit and credit cards and locker services. In addition, the company offers car, two-wheeler, commercial vehicle, personal, tractor, home, gold, construction equipment, business, agriculture, and working capital loans. Further, it provides life, health, general, and motor insurance; mutual funds and national pension system; overdraft, cash credit, bank guarantee, and letters of credit; and internet and mobile banking, collection and receivables, and payment and other merchant payment services. Additionally, the company provides government banking services to central government, state governments, central and state public sector undertakings, boards, defense, urban local bodies, and other government departments. It operates bank branches, correspondents banking outlets, business correspondents, and ATMs. The company was formerly known as AU Financiers (India) Limited and changed its name to AU Small Finance Bank Limited in May 2017. AU Small Finance Bank Limited was incorporated in 1996 and is headquartered in Jaipur, India."
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,"Aditya Birla Capital Limited, through its subsidiaries, provides various financial products and services in India and internationally. It operates through Life Insurance, General Insurance Broking, NBFC, Housing Finance, Stock and Securities Broking, Health Insurance, Asset Management, and Other Financial Services segments. The company offers protecting solutions, which include life, health, motor, and travel insurance; multiply wellness, and group and corporate general insurance; and investing solution, such as mutual funds, stocks and securities, wealth, portfolio management services, pension funds, and real estate investment. In addition, it provides financing solutions comprising personal, home, small and medium-sized enterprise, and mortgage finance, as well as loan against securities; and debt capital markets and loan syndication services. Further, the company offers asset management; and other financial services, such as depository, risk advisory, asset reconstruction, and other business support services. Additionally, it provides fund-based lending, insurance broking, corporate agency, alternate investment fund, digital services; private equity investment, management services; financial, and IT-enabled services. The company was incorporated in 2007 and is based in Mumbai, India. Aditya Birla Capital Limited operates as a subsidiary of Grasim Industries Limited."
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,"Aditya Birla Fashion and Retail Limited designs, manufactures, distributes, and retails fashion apparel and accessories in India and internationally. It operates in two segments, Madura Fashion & Lifestyle, and Pantaloons. The company offers shirts, trousers, denims, t-shirts, dresses, suits and blazers, casuals, ceremonial, and party wear; shorts, joggers, track pants, sweatshirts, jackets, loungewear, biker t-shirts, polos, chinos, kurtas and bottom wear, occasion wear, festive ensembles, streetwear, classic shirts, logo T-shirts, casual pants, lehengas and kurta sets, ethnic bottom wear, athleisure wear, workwear, tops, sleepwear, crops tops, skirts, jeans, sportswear; accessories; and shawls, stoles, shoes, and lingerie, as well as home furnishings, footwear, handbags, bed linen, towels, smart table linen, dressy cushion covers, and others. It markets its products under the Louis Philippe, Van Heusen, Allen Solly, and Peter England brands, as well as operates fashion store under the Pantaloons brand. The company holds online and offline rights to the India network of California-based fashion brand Forever 21; and international brands portfolio, such as The Collective, Simon Carter, American Eagle, Ralph Lauren, Hackett London, Ted Baker, and Fred Perry. The company was formerly known as Pantaloons Fashion & Retail Limited and changed its name to Aditya Birla Fashion and Retail Limited in January 2016. Aditya Birla Fashion and Retail Limited was incorporated in 2007 and is based in Mumbai, India."
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,"Alkem Laboratories Limited, a pharmaceutical company, engages in the development, manufacture, and sale of pharmaceutical and nutraceutical products in India and internationally. The company offers branded generics, generic drugs, active pharmaceutical ingredients, and biosimilars, and nutraceuticals in acute and chronic therapeutic areas comprising anti-infective, dermatology, cardiac, respiratory, gastro-intestinal, central nervous system, urology, and gynaecology, as well as vitamins, minerals, and nutrients; and pain analgesic, anti-diabetic, and neurology products. Alkem Laboratories Limited was incorporated in 1973 and is headquartered in Mumbai, India."
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,"Apollo Tyres Limited manufactures and sells automotive tires, tubes, and flaps in the Asia Pacific, the Middle East, Africa, Europe, and internationally. It offers passenger car, sports utility vehicle, multi utility vehicle, light truck, truck-bus, agriculture, industrial, specialty, bicycle, off highway, and two-wheeler tires; retreading materials and tires; and alloy wheels. The company provides its products under the Apollo and Vredestein brands. The company was incorporated in 1972 and is headquartered in Gurugram, India."
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,"Ashok Leyland Limited, together with its subsidiaries, manufactures and sells commercial vehicles in India and internationally. The company offers city, inter-city, school and college, staff, tourist, stage carrier, and airport shuttle buses; haulage and ICV distribution trucks, as well as tractors and tippers; light and small commercial vehicles, goods carriers, and passenger vehicles; and defense vehicles comprising logistics, high mobility, armored, light tactical, tracked, and simulator vehicles. It also provides power solutions, such as diesel generators, agriculture engines, industrial engines, and marine engines; spare parts, including trailer axle and suspension, repair, and retro fitment kits; and vehicle and housing financing services. In addition, the company trades in commercial vehicles; offers manpower supply services and air chartering services; provides IT services; and driver training services, as well as manufactures forgings and castings. Further, it operates retail stores; and LeyKart, an e-commerce store for spare parts. The company was incorporated in 1948 and is headquartered in Chennai, India."
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,"Astral Limited, together with its subsidiaries, manufactures and markets pipes, water tanks, and adhesives and sealants in India and internationally. The company operates in Plastic and Adhesives segments. It offers chlorinated poly vinyl chloride (CPVC) and plumbing systems under the Astral CPVC Pro, Astral Pex-a PRO, Astral MultiPro, Astral EcoPro, and Astral Aquarius names for residential and industrial applications. It also provides ASTRAL Silencio low noise system; Astral DrainMaster, a drainage system; ASTRAL Foamcore pipes for underground systems; ASTRAL DrainHulk manhole drainage chambers; ASTRAL Underground drainage systems; and D-Rex double walled corrugated pipes. In addition, the company offers ASTRAL Chem PRO industrial piping systems; and Aquarius Plus uPVC industrial piping systems. Further, it provides Pre-StiRex and Plus + StiRex ducts for post-tensioning of bridges; Bore-Well column pipes, Case-Well uPVC casing pipes, Aquasafe agriculture pressure pipes, and GeoRex s perforated sub-surface drainage for agriculture; ASTRAL high density poly ethylene pipes; Astral Fire Pro, a CPVC piping system for fire sprinklers; water tanks under the Opta, Cleo, Vito, Sylo, and Sarita brand names; and surface drainage systems under the Astral Hauraton brand name. Additionally, the company offers Astral MultiRex polyolefin cable channels; Astral Wire Guard conduit pipes; and Astral TeleRex pipes for cable protection. It also offers ancillary products, including clamps and hangers for pipes and cables; Astral INSUPro XLPE insulation for piping; and air admittance valve, basin traps, and back flow preventer valve. The company was formerly known as Astral Poly Technik Limited and changed its name to Astral Limited in April 2021. Astral Limited was incorporated in 1996 and is based in Ahmedabad, India."
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,"Aurobindo Pharma Limited engages in manufacturing of generic formulations and active pharmaceutical ingredients in India, the United States of America, Europe, and internationally. It offers formulation in form of orals, injectables and over-the-counter drugs; and active pharmaceutical ingredients (API) for biosimilars, dermatology, respiratory, vaccines, and peptides, as well as oncology, hormones, and sterile products. The company also provides antiretroviral drugs for the people and children living with HIV; and AuroZymes, a biocatalysts product for use in the pharmaceutical and chemical industries. In addition, it offers AuroSource, a contract services that cover the clinical stage through to manufacturing and management of the entire drug lifecycle in the API space for penicillin's, cephalosporins, and non beta lactams. The company was incorporated in 1986 and is headquartered in Hyderabad, India."
